,boro, nb, count
833,Bronx,Murray Hill,1083
834,Queens,Longwood,20
835,Brooklyn,Bensonhurst,403
836,Bronx,Castle Hill,1283
837,Staten Island,John F. Kennedy International Airport,415
838,Brooklyn,Williamsburg,48700
839,Bronx,Bensonhurst,2
840,Queens,Middle Village,412
841,Queens,Unionport,14
842,Brooklyn,Concourse Village,5
843,Brooklyn,DUMBO,2962
844,Manhattan,Prospect-Lefferts Gardens,318
845,Manhattan,Riverdale,32
846,Manhattan,Dongan Hills,3
847,Bronx,Eastchester,77
848,Queens,City Island,1
849,Bronx,East Elmhurst,155
850,Queens,Hunts Point,9
851,Brooklyn,Forest Park,70
852,Manhattan,Red Hook,213
853,Staten Island,Dyker Heights,4
854,Staten Island,Murray Hill,69
855,Manhattan,Gramercy,310161
856,Brooklyn,Queens Village,3
857,Queens,Manhattan Beach,1
858,Staten Island,Richmondtown,5
859,Brooklyn,Two Bridges,401
860,Manhattan,Crotona Park,1
861,Bronx,SoHo,535
862,Manhattan,Jamaica Estates,19
863,Staten Island,Castleton Corners,45
864,Manhattan,Broad Channel,9
865,Brooklyn,Ridgewood,127
866,Bronx,Van Nest,175
867,Queens,Belmont,7
868,Queens,Glendale,242
869,Queens,Bushwick,246
870,Queens,Chelsea,35547
871,Bronx,South Slope,4
872,Queens,Brighton Beach,16
873,Staten Island,Boerum Hill,4
874,Brooklyn,Parkchester,2
875,Manhattan,Midwood,104
876,Brooklyn,Coney Island,52
877,Manhattan,Astoria,16765
878,Manhattan,Fort Hamilton,33
879,Manhattan,Kew Gardens,130
880,Manhattan,Port Richmond,1
881,Brooklyn,Navy Yard,216
882,Queens,Tremont,2
883,Brooklyn,Concord,3
884,Brooklyn,Williamsbridge,2
885,Manhattan,Bull's Head,6
886,Queens,Brownsville,17
887,Brooklyn,Battery Park City,4133
888,Queens,Ferry Point Park,6
